outcome,variable,selected,imputation
andujak2,e_con_be,False,9
andujak2,e_con_va,False,9
andujak2,e_con_ar,False,9
andujak2,e_con_ea,False,9
andujak2,e_con_pr,False,9
andujak2,e_con_av,False,9
andujak2,e_con_sm,False,9
andujak2,sin_tvp_,False,9
andujak2,var171,False,9
andujak2,tv_l_esu,False,9
andujak2,tvp_orig,False,9
andujak2,tv_l_ein,True,9
andujak2,tvp_prox,False,9
andujak2,tv_l_svc,False,9
andujak2,tv_l_vre,False,9
andujak2,tv_l_vrn,False,9
andujak2,tv_l_vca,False,9
andujak2,tv_l_yug,False,9
andujak2,tv_l_ova,False,9
andujak2,tv_l_sup,False,9
andujak2,tv_l_pul,False,9
andujak2,tv_l_ove,True,9
andujak2,fr_cance,False,9
andujak2,fr_cirug,False,9
andujak2,fr_inmov,False,9
andujak2,fr_tvp_a,False,9
andujak2,fr_antfa,False,9
andujak2,fr_tvs_a,False,9
andujak2,fr_viaje,False,9
andujak2,fr_estro,False,9
andujak2,fr_embar,False,9
andujak2,fr_varic,False,9
andujak2,fr_antec,False,9
andujak2,ana_dime,False,9
andujak2,ana_crea,True,9
andujak2,ana_trop,False,9
andujak2,edad,True,9
andujak2,peso,False,9
andujak2,tension_,True,9
andujak2,ana_hemo,True,9
andujak2,ana_plaq,True,9
andujak2,ana_leuc,True,9
andujak2,ana_neu,True,9
andujak2,protcrea,False,9
andujak2,splanchnic,True,9
andujak2,sexo,False,10
andujak2,raza,True,10
andujak2,ant_inf,False,10
andujak2,ant_isq,False,10
andujak2,ant_clau,True,10
andujak2,fum_act,False,10
andujak2,diabetes,False,10
andujak2,hip_art,True,10
andujak2,insf_car,False,10
andujak2,fibr_aur,True,10
andujak2,trat_est,False,10
andujak2,e_con_pp,False,10
andujak2,e_con_cu,False,10
andujak2,e_con_ec,True,10
andujak2,e_con_lu,False,10
andujak2,e_con_be,False,10
andujak2,e_con_va,False,10
andujak2,e_con_ar,False,10
andujak2,e_con_ea,False,10
andujak2,e_con_pr,False,10
andujak2,e_con_av,False,10
andujak2,e_con_sm,False,10
andujak2,sin_tvp_,False,10
andujak2,var171,False,10
andujak2,tv_l_esu,False,10
andujak2,tvp_orig,False,10
andujak2,tv_l_ein,True,10
andujak2,tvp_prox,False,10
andujak2,tv_l_svc,False,10
andujak2,tv_l_vre,False,10
andujak2,tv_l_vrn,False,10
andujak2,tv_l_vca,False,10
andujak2,tv_l_yug,True,10
andujak2,tv_l_ova,False,10
andujak2,tv_l_sup,False,10
andujak2,tv_l_pul,False,10
andujak2,tv_l_ove,False,10
andujak2,fr_cance,False,10
andujak2,fr_cirug,False,10
andujak2,fr_inmov,False,10
andujak2,fr_tvp_a,False,10
andujak2,fr_antfa,False,10
andujak2,fr_tvs_a,False,10
andujak2,fr_viaje,False,10
andujak2,fr_estro,False,10
andujak2,fr_embar,False,10
andujak2,fr_varic,False,10
andujak2,fr_antec,False,10
andujak2,ana_dime,False,10
andujak2,ana_crea,True,10
andujak2,ana_trop,False,10
andujak2,edad,True,10
andujak2,peso,False,10
andujak2,tension_,False,10
andujak2,ana_hemo,True,10
andujak2,ana_plaq,True,10
andujak2,ana_leuc,False,10
andujak2,ana_neu,True,10
andujak2,protcrea,True,10
andujak2,splanchnic,True,10
andujak2,sexo,False,11
andujak2,raza,True,11
andujak2,ant_inf,False,11
andujak2,ant_isq,False,11
andujak2,ant_clau,False,11
andujak2,fum_act,False,11
andujak2,diabetes,False,11
andujak2,hip_art,True,11
andujak2,insf_car,False,11
andujak2,fibr_aur,True,11
andujak2,trat_est,False,11
andujak2,e_con_pp,False,11
andujak2,e_con_cu,False,11
andujak2,e_con_ec,True,11
andujak2,e_con_lu,False,11
andujak2,e_con_be,False,11
andujak2,e_con_va,False,11
andujak2,e_con_ar,False,11
andujak2,e_con_ea,False,11
andujak2,e_con_pr,False,11
andujak2,e_con_av,False,11
andujak2,e_con_sm,False,11
andujak2,sin_tvp_,False,11
andujak2,var171,False,11
andujak2,tv_l_esu,False,11
andujak2,tvp_orig,False,11
andujak2,tv_l_ein,False,11
andujak2,tvp_prox,False,11
andujak2,tv_l_svc,False,11
andujak2,tv_l_vre,False,11
andujak2,tv_l_vrn,False,11
andujak2,tv_l_vca,False,11
andujak2,tv_l_yug,True,11
andujak2,tv_l_ova,False,11
andujak2,tv_l_sup,True,11
andujak2,tv_l_pul,False,11
andujak2,tv_l_ove,False,11
andujak2,fr_cance,False,11
andujak2,fr_cirug,False,11
andujak2,fr_inmov,False,11
andujak2,fr_tvp_a,False,11
andujak2,fr_antfa,False,11
andujak2,fr_tvs_a,False,11
andujak2,fr_viaje,False,11
andujak2,fr_estro,False,11
andujak2,fr_embar,False,11
andujak2,fr_varic,False,11
andujak2,fr_antec,False,11
andujak2,ana_dime,False,11
andujak2,ana_crea,True,11
andujak2,ana_trop,False,11
andujak2,edad,True,11
andujak2,peso,False,11
andujak2,tension_,False,11
andujak2,ana_hemo,True,11
andujak2,ana_plaq,True,11
andujak2,ana_leuc,False,11
andujak2,ana_neu,True,11
andujak2,protcrea,False,11
andujak2,splanchnic,True,11
andujak2,sexo,False,12
andujak2,raza,True,12
andujak2,ant_inf,False,12
andujak2,ant_isq,False,12
andujak2,ant_clau,True,12
andujak2,fum_act,False,12
andujak2,diabetes,False,12
andujak2,hip_art,True,12
andujak2,insf_car,False,12
andujak2,fibr_aur,True,12
andujak2,trat_est,False,12
andujak2,e_con_pp,False,12
andujak2,e_con_cu,False,12
andujak2,e_con_ec,True,12
andujak2,e_con_lu,False,12
andujak2,e_con_be,False,12
andujak2,e_con_va,False,12
andujak2,e_con_ar,False,12
andujak2,e_con_ea,False,12
andujak2,e_con_pr,False,12
andujak2,e_con_av,False,12
andujak2,e_con_sm,False,12
andujak2,sin_tvp_,False,12
andujak2,var171,False,12
andujak2,tv_l_esu,False,12
andujak2,tvp_orig,True,12
andujak2,tv_l_ein,False,12
andujak2,tvp_prox,False,12
andujak2,tv_l_svc,False,12
andujak2,tv_l_vre,False,12
andujak2,tv_l_vrn,False,12
andujak2,tv_l_vca,False,12
andujak2,tv_l_yug,True,12
andujak2,tv_l_ova,False,12
andujak2,tv_l_sup,False,12
andujak2,tv_l_pul,False,12
andujak2,tv_l_ove,False,12
andujak2,fr_cance,False,12
andujak2,fr_cirug,False,12
andujak2,fr_inmov,False,12
andujak2,fr_tvp_a,False,12
andujak2,fr_antfa,False,12
andujak2,fr_tvs_a,False,12
andujak2,fr_viaje,False,12
andujak2,fr_estro,False,12
