outcome,label,analysis,validation,model,n_explicit,positive_n_explicit,auc_explicit,sensitivity_explicit,specificity_explicit,npv_explicit,tp_explicit,fp_explicit,tn_explicit,fn_explicit,n_routine,positive_n_routine,auc_routine,sensitivity_routine,specificity_routine,npv_routine,tp_routine,fp_routine,tn_routine,fn_routine
var158,Antithrombin deficiency,primary_complete_case,temporal_holdout,Automatic integer score,98,6,0.4275362318840579,0.8333333333333334,0.1195652173913043,0.9166666666666666,5,81,11,1,423,5,0.4366028708133971,1.0,0.0,,5,418,0,0
var158,Antithrombin deficiency,primary_complete_case,nested_cv,XGBoost,5742,127,0.6542563858057369,0.889763779527559,0.2233303650934995,0.9889589905362776,113,4361,1254,14,7209,92,0.6185724932952942,0.9021739130434784,0.1948854854573556,0.9935530085959884,83,5730,1387,9
var158,Antithrombin deficiency,primary_complete_case,temporal_holdout,XGBoost,98,6,0.4130434782608695,1.0,0.1195652173913043,1.0,6,81,11,0,423,5,0.3476076555023923,0.6,0.2751196172248804,0.9829059829059827,3,303,115,2
var158,Antithrombin deficiency,sensitivity_native_missing,nested_cv,XGBoost,10085,244,0.6787669852290767,0.9016393442622952,0.2585103139924804,0.9906542056074766,220,7297,2544,24,21762,244,0.5830434184723732,0.8770491803278688,0.1847755367599219,0.9925112331502746,214,17542,3976,30
var158,Antithrombin deficiency,sensitivity_native_missing,temporal_holdout,XGBoost,228,15,0.5386541471048515,1.0,0.0,,15,213,0,0,1085,15,0.5884735202492212,0.9333333333333332,0.0747663551401869,0.9876543209876544,14,990,80,1
andujak2,JAK2 mutation,primary_complete_case,nested_cv,Logistic LASSO,648,15,0.6878883622959453,0.7333333333333333,0.1832543443917851,0.9666666666666668,11,517,116,4,648,15,0.6878883622959453,0.7333333333333333,0.1832543443917851,0.9666666666666668,11,517,116,4
andujak2,JAK2 mutation,primary_complete_case,nested_cv,Automatic integer score,648,15,0.6789362822538179,0.8666666666666667,0.0774091627172195,0.9607843137254902,13,584,49,2,648,15,0.6789362822538179,0.8666666666666667,0.0774091627172195,0.9607843137254902,13,584,49,2
andujak2,JAK2 mutation,primary_complete_case,temporal_holdout,Logistic LASSO,54,6,0.8194444444444445,0.8333333333333334,0.1041666666666666,0.8333333333333334,5,43,5,1,54,6,0.8194444444444445,0.8333333333333334,0.1041666666666666,0.8333333333333334,5,43,5,1
andujak2,JAK2 mutation,primary_complete_case,temporal_holdout,Automatic integer score,54,6,0.8194444444444445,0.8333333333333334,0.1041666666666666,0.8333333333333334,5,43,5,1,54,6,0.8194444444444445,0.8333333333333334,0.1041666666666666,0.8333333333333334,5,43,5,1
andujak2,JAK2 mutation,primary_complete_case,nested_cv,XGBoost,648,15,0.7002106371774618,0.9333333333333332,0.2954186413902053,0.9946808510638298,14,446,187,1,648,15,0.7002106371774618,0.9333333333333332,0.2954186413902053,0.9946808510638298,14,446,187,1
andujak2,JAK2 mutation,primary_complete_case,temporal_holdout,XGBoost,54,6,0.796875,0.8333333333333334,0.6666666666666666,0.9696969696969696,5,16,32,1,54,6,0.796875,0.8333333333333334,0.6666666666666666,0.9696969696969696,5,16,32,1
andujak2,JAK2 mutation,sensitivity_native_missing,nested_cv,XGBoost,2098,51,0.8066563215418068,0.9019607843137256,0.3302393746946751,0.9926578560939796,46,1371,676,5,2098,51,0.8066563215418068,0.9019607843137256,0.3302393746946751,0.9926578560939796,46,1371,676,5
andujak2,JAK2 mutation,sensitivity_native_missing,temporal_holdout,XGBoost,141,10,0.832824427480916,0.9,0.2671755725190839,0.9722222222222222,9,96,35,1,141,10,0.832824427480916,0.9,0.2671755725190839,0.9722222222222222,9,96,35,1
