variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
edad,Age (years),≥70,Development eligible,Temporal eligible,10034,221,10034,221,0,0,2566.0,27.0,25.57305162447678,12.217194570135746,0.3462470420549253,3.6633009465257496e-05,,,,,,,,,,
peso,Weight (kg),50–100,Development eligible,Temporal eligible,10034,221,10032,220,2,1,9154.0,188.0,91.24800637958532,85.45454545454545,0.18133021605819027,0.0029652085963389877,,,,,,,,,,
peso,Weight (kg),<50,Development eligible,Temporal eligible,10034,221,10032,220,2,1,126.0,2.0,1.255980861244019,0.9090909090909091,0.033527030975376,0.0029652085963389877,,,,,,,,,,
peso,Weight (kg),>100,Development eligible,Temporal eligible,10034,221,10032,220,2,1,752.0,30.0,7.496012759170653,13.636363636363635,-0.20075207045844942,0.0029652085963389877,,,,,,,,,,
tension_,Systolic BP (mmHg),<100,Development eligible,Temporal eligible,10034,221,9605,206,429,15,413.0,5.0,4.299843831337845,2.4271844660194173,0.10401071635794201,0.22341103391918837,,,,,,,,,,
tension_,Systolic BP (mmHg),≥100,Development eligible,Temporal eligible,10034,221,9605,206,429,15,9192.0,201.0,95.70015616866215,97.57281553398059,-0.10401071635794215,0.22341103391918837,,,,,,,,,,
ana_hemo,Hemoglobin (g/dL),<12,Development eligible,Temporal eligible,10034,221,10023,221,11,0,1800.0,31.0,17.958695001496558,14.027149321266968,0.10741549635365083,0.15496780063716376,,,,,,,,,,
ana_hemo,Hemoglobin (g/dL),≥12,Development eligible,Temporal eligible,10034,221,10023,221,11,0,8223.0,190.0,82.04130499850343,85.97285067873304,-0.10741549635365107,0.15496780063716376,,,,,,,,,,
ana_plaq,Platelets (10^9/L),144–400,Development eligible,Temporal eligible,10034,221,10024,220,10,1,8546.0,175.0,85.25538707102953,79.54545454545455,0.1503623224193187,0.0604841792393868,,,,,,,,,,
ana_plaq,Platelets (10^9/L),<144,Development eligible,Temporal eligible,10034,221,10024,220,10,1,962.0,30.0,9.596967278531524,13.636363636363635,-0.12631501742761503,0.0604841792393868,,,,,,,,,,
ana_plaq,Platelets (10^9/L),>400,Development eligible,Temporal eligible,10034,221,10024,220,10,1,516.0,15.0,5.147645650438946,6.8181818181818175,-0.07047995477775192,0.0604841792393868,,,,,,,,,,
ana_leuc,Leukocytes (10^9/L),4–11,Development eligible,Temporal eligible,10034,221,9995,219,39,2,7292.0,160.0,72.95647823911956,73.0593607305936,-0.002317600617345352,0.8165017599376866,,,,,,,,,,
